SeaLevel,Age(Ma)
-20.95,1.83474
-30.21,1.8358
-15.49,1.83747
-23.51,1.83807
-16.81,1.84064
-16.24,1.84246
-16.9,1.84398
-13.29,1.84701
-5.33,1.8484
-2.28,1.84966
-1.08,1.85072
-10.34,1.85173
-7.91,1.85274
-7.93,1.8538
-11.04,1.85486
-12.3,1.85592
-25.25,1.85698
-37.58,1.85804
-26.54,1.8592
-45.03,1.86053
-46.92,1.86204
-45.12,1.86362
-53.16,1.86521
-59.97,1.8668
-45.25,1.86839
-34.83,1.86997
-31.18,1.87156
-32.46,1.87315
-37.42,1.87479
-31.93,1.87656
-9.83,1.87832
-6.81,1.88026
-13.62,1.88206
-19.83,1.88385
-13.11,1.88564
-19.92,1.88743
-15.05,1.88921
-12.02,1.89101
-12.07,1.89292
-17.1,1.89674
-34.38,1.89864
-38.74,1.90097
-40.61,1.90335
-32.64,1.90574
-34.52,1.90812
-19.78,1.91044
-28.42,1.91253
-30.3,1.91509
-22.33,1.91741
-16.21,1.91952
-16.23,1.92137
-10.72,1.92328
-3.36,1.92522
-7.69,1.92715
-0.38,1.93295
-1.64,1.93471
3.87,1.93689
-1.08,1.93947
-38.04,1.94205
-42.99,1.94463
-27.03,1.94735
-26.45,1.9501
-28.95,1.95285
-29.6,1.95571
-22.87,1.95896
-32.14,1.96205
-29.1,1.96509
-28.53,1.96814
-19.33,1.97091
-17.52,1.97304
-0.93,1.97499
-1.57,1.97694
-13.9,1.9789
-3.47,1.98086
3.89,1.98274
-18.9,1.98462
-19.54,1.9865
-15.87,1.98839
-7.28,1.99027
-15.92,1.99215
-13.48,1.99404
-19.04,1.99592
-15.38,1.9978
-17.25,1.99972
-27.09,2.00173
-25.25,2.00314
-30.17,2.00422
-33.86,2.0056
-29.56,2.00697
-12.94,2.00814
-7.4,2.00899
-22.79,2.01099
-14.79,2.01356
-2.48,2.01686
-6.17,2.0189
7.36,2.02117
-6.17,2.02366
-14.17,2.02616
-9.25,2.02842
-19.1,2.03024
-10.48,2.03228
-32.63,2.03478
-11.1,2.03705
-40.63,2.03931
-8.64,2.04158
-16.63,2.04426
-33.86,2.04642
-28.94,2.04857
-33.86,2.0512
-48.63,2.05359
-25.86,2.05624
-32.02,2.05923
-34.48,2.06162
-28.94,2.06435
-46.17,2.0669
-60.32,2.06981
-59.09,2.07304
-28.94,2.07724
-47.4,2.08145
-47.4,2.08477
-28.33,2.08811
-21.56,2.09045
-0.02,2.09412
1.82,2.09613
-35.09,2.09787
-29.56,2.10006
-22.17,2.10224
-19.1,2.10515
-23.4,2.10828
-17.25,2.11169
-33.86,2.11543
-26.48,2.11922
-24.63,2.12292
-20.33,2.12662
-3.1,2.13032
-2.48,2.13403
-5.56,2.13773
-16.63,2.14143
-35.71,2.14428
-42.48,2.14657
-42.48,2.14842
-41.25,2.15047
-55.4,2.15253
-57.24,2.15458
-51.09,2.15663
-56.63,2.15869
-44.32,2.16074
-45.55,2.1628
-35.71,2.16485
-35.09,2.16691
-28.33,2.16897
-25.25,2.17096
-20.33,2.17362
-15.4,2.17628
-8.02,2.17894
-11.71,2.18188
-3.71,2.18447
-19.1,2.18669
-16.02,2.18914
-30.17,2.19114
-23.4,2.19342
-26.48,2.19599
-30.17,2.19856
-26.48,2.20114
-14.18,2.20369
-16.65,2.20663
1.18,2.20962
-6.82,2.21262
-4.98,2.21587
-8.07,2.21849
-11.77,2.22141
-10.54,2.22422
-13.01,2.22655
-13.63,2.22889
-4.41,2.23121
-6.88,2.23368
-27.8,2.23611
-49.34,2.2381
-45.04,2.24009
-40.74,2.24209
-41.36,2.24408
-24.75,2.24608
-19.84,2.24808
-11.23,2.25008
-15.54,2.25207
-7.55,2.25469
5.98,2.2575
4.13,2.26061
4.12,2.26373
-3.89,2.26685
-11.28,2.26965
-32.82,2.27308
-31.6,2.27609
-40.22,2.27858
-48.22,2.28107
-33.46,2.28382
-31.62,2.28607
-25.48,2.28848
-14.41,2.29086
-12.57,2.29325
3.42,2.29564
-5.82,2.30048
-4,2.30347
-6.48,2.30645
-23.73,2.30944
-24.99,2.31272
-29.33,2.3175
-18.89,2.31988
-12.14,2.32233
-3.54,2.32424
-9.1,2.32599
-6.65,2.32815
-2.36,2.33012
-14.05,2.33051
-4.23,2.33326
-13.48,2.33612
-15.96,2.33865
1.86,2.34118
12.3,2.34371
9.82,2.34603
-5.58,2.34821
-19.14,2.3511
-33.31,2.35348
-40.71,2.35612
-29.04,2.35875
-29.67,2.36113
-18.62,2.36375
-23.56,2.36613
-13.12,2.36851
-14.36,2.37063
-0.85,2.37298
-3.94,2.37509
10.81,2.37763
12.64,2.3795
11.39,2.38138
8.92,2.38344
-2.79,2.38532
-10.8,2.38719
-22.51,2.38926
-20.67,2.39095
-28.69,2.39282
-15.78,2.39507
-35.49,2.3974
-27.51,2.39973
-22.61,2.402
-24.47,2.40427
-20.8,2.40653
-7.28,2.4088
-0.53,2.41107
-14.08,2.41334
-12.25,2.41561
-8.58,2.41788
-6.13,2.42014
-16.61,2.42196
-40.01,2.42397
-27.1,2.42599
-49.27,2.428
-57.28,2.43022
-11.77,2.43229
-45.63,2.4347
-50.57,2.43712
-45.05,2.43953
-34.61,2.44195
-35.25,2.44612
-35.27,2.44813
-33.44,2.45014
-39.61,2.45196
-24.24,2.45397
-16.87,2.45609
-3.97,2.45867
-0.92,2.46151
-6.48,2.46409
3.96,2.46667
-2.83,2.46968
-24.39,2.47291
-24.41,2.47611
-42.9,2.47927
-49.07,2.48182
-54.62,2.48364
-54.64,2.48567
-46.65,2.4875
-42.36,2.48932
-36.22,2.49139
-39.93,2.4939
-14.11,2.49615
-8.61,2.50086
-17.85,2.50306
-25.86,2.50549
-37.57,2.50769
-46.83,2.51232
-56.07,2.51421
-51.15,2.5144
-52.39,2.51635
-50.56,2.51869
-50.57,2.52084
-50.59,2.52279
-48.75,2.52454
-48.15,2.52649
-35.86,2.52825
-43.25,2.5302
-34.65,2.53235
-43.28,2.53472
-27.3,2.53679
-18.08,2.53886
-16.25,2.54072
-13.8,2.54279
-8.89,2.54527
6.47,2.54796
5.22,2.55127
8.27,2.5552
-12.65,2.55617
-24.36,2.55811
-20.68,2.56005
-18.84,2.56198
-10.86,2.5639
-11.5,2.56775
-12.13,2.56968
-10.91,2.5716
-3.54,2.57353
-7.86,2.57546
5.05,2.57738
2.58,2.57931
-0.51,2.58123
3.78,2.58316
0.7,2.58508
-4.24,2.58688
-1.17,2.58861
-15.34,2.59035
-27.65,2.59208
-32.59,2.59381
-28.91,2.59554
-47.99,2.59728
-45.54,2.59901
-36.32,2.60074
-40.03,2.60248
-33.27,2.60421
-40.05,2.60594
-26.52,2.60767
-27.15,2.6094
-17.93,2.61117
-11.79,2.61302
-6.88,2.61487
-7.51,2.61673
-9.37,2.61863
-10,2.62095
-1.4,2.62352
-3.26,2.62643
-5.74,2.62933
-18.68,2.6322
-16.24,2.63453
-48.86,2.63685
-17.5,2.63918
-31.67,2.6415
-31.06,2.64382
-32.93,2.64615
-21.25,2.64856
-16.34,2.65097
-13.29,2.65378
1.46,2.65679
12.52,2.6598
5.12,2.66263
3.87,2.66503
-1.07,2.66744
6.92,2.66985
-6.64,2.67226
-2.35,2.67467
-18.36,2.67688
-10.99,2.6788
-31.3,2.68073
-39.93,2.68265
-36.25,2.68448
-31.34,2.68622
-22.12,2.68796
-12.9,2.68969
-15.99,2.69142
-19.08,2.69281
-18.47,2.69436
-33.86,2.69591
-32.03,2.69745
-28.34,2.699
-35.74,2.70054
-36.37,2.70193
-35.77,2.70348
-38.86,2.70502
-22.26,2.70672
-24.73,2.70827
-15.52,2.70982
-13.69,2.71134
-44.47,2.713
-4.49,2.71451
-14.96,2.71588
-25.43,2.71743
-21.75,2.71896
-27.92,2.72049
-21.78,2.72206
-20.57,2.72355
-13.2,2.7251
-38.44,2.72685
-24.92,2.72859
-28.63,2.73033
-17.57,2.73258
22.4,2.735
13.76,2.7375
23.58,2.74055
12.48,2.74361
14.91,2.74673
6.26,2.75108
12.39,2.75337
1.89,2.75794
1.26,2.76
